day,slot,category,ko,text,pron,vocab
1,1,인사,안녕하세요.,สวัสดีครับ,싸왓디 크랍,สวัสดี:싸왓디:안녕(인사말);ครับ:크랍:존댓말 어미(남성)|여성은 ค่ะ(카)
1,2,인사,감사합니다.,ขอบคุณครับ,컵쿤 크랍,ขอบคุณ:컵쿤:감사하다;ครับ:크랍:존댓말 어미(남성)
1,3,인사,죄송합니다.,ขอโทษครับ,커톳 크랍,ขอโทษ:커톳:사과하다;ครับ:크랍:존댓말 어미(남성)
2,1,인사,네~ 맞아요.,ใช่ครับ,차이 크랍,ใช่:차이:맞다·그렇다;ครับ:크랍:존댓말 어미(남성)
2,2,인사,아니요.,ไม่ใช่ครับ,마이 차이 크랍,ไม่:마이:아니다(부정);ใช่:차이:맞다
2,3,인사,괜찮아요.,ไม่เป็นไร,마이 뻰 라이,ไม่:마이:아니다(부정);เป็นไร:뻰 라이:무슨 일이다
3,1,소개,저는 한국인이에요.,ผมเป็นคนเกาหลี,폼 뻰 콘 까올리,ผม:폼:저(남성)|여성은 ฉัน(찬);คน:콘:사람;เกาหลี:까올리:한국
3,2,소개,이름이 뭐예요?,คุณชื่ออะไร,쿤 츠 아라이,คุณ:쿤:당신;ชื่อ:츠:이름;อะไร:아라이:무엇
3,3,소개,만나서 반가워요.,ยินดีที่ได้รู้จัก,인디 티 다이 루짝,ยินดี:인디:기쁘다;รู้จัก:루짝:알다·사귀다
4,1,소통,태국어 못해요.,พูดภาษาไทยไม่ได้,풋 파싸 타이 마이 다이,พูด:풋:말하다;ภาษาไทย:파싸 타이:태국어;ไม่ได้:마이 다이:못하다
4,2,소통,영어 할 수 있어요?,พูดภาษาอังกฤษได้ไหม,풋 파싸 앙끄릿 다이 마이,ภาษาอังกฤษ:파싸 앙끄릿:영어;ได้ไหม:다이 마이:~할 수 있어요?
4,3,소통,천천히 말해 주세요.,พูดช้าๆ หน่อย,풋 차차 너이,พูด:풋:말하다;ช้าๆ:차차:천천히;หน่อย:너이:좀(부드러운 요청)
5,1,소통,이해 못했어요.,ไม่เข้าใจ,마이 카오짜이,ไม่:마이:아니다(부정);เข้าใจ:카오짜이:이해하다
5,2,소통,다시 말해 주세요.,พูดอีกครั้งได้ไหม,풋 익 크랑 다이 마이,อีกครั้ง:익 크랑:한 번 더;ได้ไหม:다이 마이:~해 줄래요?
5,3,소통,알겠어요.,เข้าใจแล้ว,카오짜이 래우,เข้าใจ:카오짜이:이해하다;แล้ว:래우:이미·완료
