day,slot,category,ko,text,pron,vocab
1,1,인사,안녕하세요.,你好,니하오 · nǐ hǎo,你:nǐ 니:너·당신;好:hǎo 하오:좋다|발음기호 위 꺾임표가 성조(높낮이) — 따라 읽기만 해도 OK
1,2,인사,감사합니다.,谢谢,씨에시에 · xièxie,谢:xiè 씨에:감사하다|두 번 겹쳐 '고마워요'
1,3,인사,천만에요.,不客气,부커치 · bú kèqi,不:bù 뿌:아니다;客气:kèqi 커치:사양하다·예의 차리다
2,1,인사,죄송합니다.,对不起,뚜이부치 · duìbuqǐ,对不起:duìbuqǐ 뚜이부치:미안하다|통째로 외우는 한 단어
2,2,인사,괜찮아요.,没关系,메이꽌시 · méi guānxi,没:méi 메이:없다;关系:guānxi 꽌시:관계|사과에 대한 표준 대답
2,3,인사,안녕히 가세요.,再见,짜이지엔 · zàijiàn,再:zài 짜이:다시;见:jiàn 지엔:만나다|'또 만나요'가 원뜻
3,1,대답,좋아요. / 알겠어요.,好的,하오더 · hǎo de,好的:hǎo de 하오더:좋다·OK|수락의 만능 대답
3,2,대답,네~ 맞아요.,是,스 · shì,是:shì 스:~이다·맞다|영어 be동사 역할
3,3,대답,아니에요.,不是,부스 · bú shì,不:bù 뿌:아니다;是:shì 스:~이다|앞에 不만 붙이면 부정
4,1,소개,저는 한국인이에요.,我是韩国人,워 스 한궈런 · wǒ shì Hánguórén,我:wǒ 워:나;韩国:Hánguó 한궈:한국;人:rén 런:사람
4,2,소개,이름이 뭐예요?,你叫什么名字?,니 지아오 션머 밍쯔 · nǐ jiào shénme míngzi,叫:jiào 지아오:부르다;什么:shénme 션머:무엇;名字:míngzi 밍쯔:이름
4,3,소개,만나서 반가워요.,认识你很高兴,런스 니 헌 까오씽 · rènshi nǐ hěn gāoxìng,认识:rènshi 런스:알게 되다;很:hěn 헌:매우;高兴:gāoxìng 까오씽:기쁘다
5,1,소통,저 중국어 못해요.,我不会说汉语,워 부 후이 슈어 한위 · wǒ bú huì shuō Hànyǔ,会:huì 후이:~할 줄 알다;说:shuō 슈어:말하다;汉语:Hànyǔ 한위:중국어
5,2,소통,영어 할 줄 아세요?,你会说英语吗?,니 후이 슈어 잉위 마 · nǐ huì shuō Yīngyǔ ma,英语:Yīngyǔ 잉위:영어;吗:ma 마:~입니까|문장 끝 吗=물음표
5,3,소통,다시 한번 말해 주세요.,请再说一遍,칭 짜이 슈어 이 삐엔 · qǐng zài shuō yí biàn,请:qǐng 칭:~해 주세요(정중);再:zài 짜이:다시;一遍:yí biàn 이 삐엔:한 번
6,1,소통,천천히 말해 주세요.,请说慢一点,칭 슈어 만 이디엔 · qǐng shuō màn yìdiǎn,慢:màn 만:느리다;一点:yìdiǎn 이디엔:조금
6,2,소통,못 알아들었어요.,我听不懂,워 팅 부 둥 · wǒ tīng bu dǒng,听:tīng 팅:듣다;懂:dǒng 둥:이해하다|听不懂=들어도 모른다
6,3,소통,이해했어요.,我明白了,워 밍바이 러 · wǒ míngbai le,明白:míngbai 밍바이:이해하다;了:le 러:~했다(완료)
7,1,돈,얼마예요?,多少钱?,뚜어샤오 치엔 · duōshao qián,多少:duōshao 뚜어샤오:얼마;钱:qián 치엔:돈
7,2,돈,너무 비싸요.,太贵了,타이 꾸이 러 · tài guì le,太~了:tài le 타이 러:너무 ~하다;贵:guì 꾸이:비싸다
7,3,돈,좀 깎아 주세요.,便宜一点吧,피엔이 이디엔 바 · piányi yìdiǎn ba,便宜:piányi 피엔이:싸다;吧:ba 바:~해요(부드러운 제안)
8,1,쇼핑,이거 주세요.,我要这个,워 야오 쩌거 · wǒ yào zhège,要:yào 야오:원하다·주세요;这个:zhège 쩌거:이것|손가락으로 가리키며 쓰는 만능 문장
8,2,쇼핑,다른 거 있어요?,有没有别的?,요우 메이요우 비에더 · yǒu méiyǒu biéde,有:yǒu 요우:있다;没有:méiyǒu 메이요우:없다;别的:biéde 비에더:다른 것
